(32, 34)
(32, 34)
(32, 34)
(32, 34)
(32, 34)
(32, 33)
(32, 33)
(32, 33)
(32, 33)
(32, 33)
(32, 33)
(32, 33)
(32, 33)
(32, 33)
(32, 33)
(32, 33)
(32, 33)
(32, 33)
(32, 33)
(32, 33)
(32, 33)
(32, 33)
(32, 33)
(32, 33)
(32, 33)
(32, 33)
(32, 33)
(32, 33)
(32, 33)
(32, 33)
(32, 33)
(32, 33)
(32, 33)
(32, 33)
(32, 33)
(32, 33)
(32, 33)
(32, 33)
(32, 33)
(32, 33)
(32, 33)
(32, 33)
(32, 33)
(32, 33)
(32, 33)
(32, 33)
(32, 33)
(32, 33)
(32, 33)
(32, 33)
(32, 33)
(32, 33)
(32, 33)
(32, 33)
(32, 33)
(32, 33)
(32, 33)
(32, 33)
(32, 33)
(32, 33)
(32, 33)
(32, 33)
(32, 33)
(32, 33)
(32, 33)
(32, 33)
(32, 33)
(32, 33)
(32, 33)
(32, 33)
(32, 33)
(32, 33)
(32, 33)
(32, 33)
(32, 33)
(32, 33)
(32, 33)
